number of clients,skew type,normalization,dataset,seed,stopped_epoch,test_loss,test_mae,test_r2,validation_loss,validation_r2
20,feature_0.7,federated_robust_scaling,Parkinson’s,3,84,55.80466842651367,5.869125573626402,0.5052920472606257,49.66862487792969,0.5820877056233966
20,feature_0.7,federated_min_max,Parkinson’s,3,84,69.27024078,6.570039369260198,0.38591994522334494,64.2101059,0.45973554380528625
20,feature_0.7,federated_z_score,Parkinson’s,3,84,36.518211364746094,4.5575949475456685,0.6762664397369595,33.881011962890625,0.7149247627368408
20,feature_0.7,local_robust_scaling,Parkinson’s,3,3,983.3945313,20.366583850952303,-7.717781734,426.7156982421875,-2.590390671
20,feature_0.7,instance_norm,Parkinson’s,3,33,109.08761596679688,7.998063882888573,0.032939303035298906,115.0471649169922,0.031991812436225286
20,feature_0.7,group_norm,Parkinson’s,3,40,119.34666442871094,8.238629572586879,-0.05800725,116.85809326171876,0.016754629
20,feature_0.7,layer_norm,Parkinson’s,3,13,115.2837371826172,8.183708928189356,-0.021988999,123.1602554321289,-0.036271799
20,feature_0.7,batch_norm,Parkinson’s,3,75,88.57912445,7.317732049274363,0.2147472499416209,77.89319610595703,0.3446056802743439
20,feature_0.7,local_min_max,Parkinson’s,3,51,129.1380157470703,8.765273693865867,-0.14480733,118.4741211,0.003157559
20,feature_0.7,local_z_score,Parkinson’s,3,1,1178.893555,19.922858183504513,-9.450877767,500.8862305,-3.214462022
10,quantity_0.7,group_norm,Parkinson’s,2,31,101.84412384033205,7.812187989165816,0.083461309,88.07236481,0.28861570464007036
10,quantity_0.7,layer_norm,Parkinson’s,2,10,130.0963897705078,8.683546397321853,-0.170792987,117.62594604492188,0.04990329
20,feature_0.7,federated_yeo_johnson,Parkinson’s,3,84,39.53562927246094,4.682356507925569,0.649516967,36.33924102783203,0.6942412745513808
10,quantity_0.7,batch_norm,Parkinson’s,2,27,78.04283905029297,6.726353209,0.2976592011766743,79.75844574,0.3557694709776936
20,feature_0.7,local_yeo_johnson,Parkinson’s,3,1,4974.26416,23.72844628944365,-43.09680778,654.1259766,-4.503823096
20,feature_0.3,default,Parkinson’s,3,6,148.57302856445312,9.396137067,-0.317098048,129.2572784423828,-0.087572224
10,quantity_0.7,local_min_max,Parkinson’s,2,84,42.28694152832031,4.977635884,0.6194417040467037,41.79310607910156,0.6624257728921146
20,feature_0.3,federated_robust_scaling,Parkinson’s,3,84,56.95004653930664,6.053869763292863,0.495138371,52.74797439575195,0.5561779307680658
10,quantity_0.7,local_z_score,Parkinson’s,2,50,27.382253646850582,4.157419095039856,0.7535754478582861,21.44486618041992,0.8267840089351247
20,feature_0.3,federated_min_max,Parkinson’s,3,84,72.57518005371094,6.519507427918677,0.35662180366500873,68.83937072753906,0.420784698
10,quantity_0.7,federated_yeo_johnson,Parkinson’s,2,52,20.683609008789062,3.5714924140546427,0.8138593622980894,19.96706199645996,0.8387206288026647
20,feature_0.3,federated_z_score,Parkinson’s,3,84,41.90394211,4.964561301141789,0.6285219925081551,38.17795944213867,0.6787701606009038
10,quantity_0.7,local_yeo_johnson,Parkinson’s,2,79,20.33100318908691,3.5685568393352796,0.8170325958602878,17.242996215820312,0.8607236166205332
20,feature_0.3,local_robust_scaling,Parkinson’s,3,4,835.1206665039062,19.371604135092813,-6.403338064,414.1647338867187,-2.484786462
10,quantity_5.0,default,Parkinson’s,2,19,154.3430633544922,9.888249553580906,-0.388999216,151.63502502441406,-0.224797
20,feature_0.3,instance_norm,Parkinson’s,3,13,124.2322998046875,8.608067735,-0.101317764,130.75274658203125,-0.100155037
20,feature_0.3,group_norm,Parkinson’s,3,11,116.15249633789062,8.278674499431068,-0.029690644,120.7119369506836,-0.015671465
20,feature_0.3,layer_norm,Parkinson’s,3,1,132.6473846435547,8.785156382526422,-0.175917708,131.65261840820312,-0.10772674
10,quantity_5.0,federated_robust_scaling,Parkinson’s,2,58,40.23050308227539,4.9075526458675185,0.6379484588781865,37.835079193115234,0.6943958348715917
20,feature_0.3,batch_norm,Parkinson’s,3,63,85.36817932128906,7.447566042150317,0.24321201479751495,78.22367095947266,0.34182508080086915
10,quantity_5.0,federated_min_max,Parkinson’s,2,84,49.657508850097656,5.285733701643817,0.5531108804019849,52.85407638549805,0.5730832943819488
20,feature_0.3,local_min_max,Parkinson’s,3,43,111.67984008789062,8.311712825853846,0.009959674,106.83395385742188,0.10109800195201568
20,feature_0.3,local_z_score,Parkinson’s,3,0,1701.2554931640625,21.713463814091337,-14.08161431,648.4337768554688,-4.455927986
10,quantity_5.0,federated_z_score,Parkinson’s,2,84,29.209253311157227,4.154151264,0.7371334875258633,30.314037322998047,0.7551452422314329
20,feature_0.3,federated_yeo_johnson,Parkinson’s,3,84,30.222362518310547,4.227524686279037,0.7320791310443344,27.36920928955078,0.7697151590123497
20,feature_0.3,local_yeo_johnson,Parkinson’s,3,0,100112.4531,47.288769418998385,-886.4960087,1499.9827880859375,-11.62087244
20,default,default,Parkinson’s,3,0,146.95217895507812,9.388919350519854,-0.302729399,111.33328247070312,0.06324053
10,quantity_5.0,local_robust_scaling,Parkinson’s,2,84,32.01679229736328,4.321829617331685,0.7118673023790002,34.76917266845703,0.7191599356948373
20,default,federated_robust_scaling,Parkinson’s,3,84,57.17456055,5.941533013883495,0.4931479189608633,51.772953033447266,0.5643818430169341
10,quantity_5.0,instance_norm,Parkinson’s,2,58,88.82611846923828,7.205596228435804,0.20061575239485985,92.46391296,0.2531438561939593
20,default,federated_min_max,Parkinson’s,3,84,68.47516632080078,6.371143107,0.3929682122653231,62.98502731323242,0.47004325485652065
20,default,federated_z_score,Parkinson’s,3,84,44.87584686279297,5.090650325899376,0.6021759204116683,40.88359069824219,0.6560050424599859
10,quantity_5.0,group_norm,Parkinson’s,2,50,95.11605834960938,7.447055770259378,0.14400992588107153,99.09535217285156,0.19958004921462455
20,default,instance_norm,Parkinson’s,3,40,107.41541290283205,7.8765632830152335,0.047763567135279406,108.8575210571289,0.084071661
20,default,group_norm,Parkinson’s,3,37,111.46458435058594,7.987085748986963,0.011867583481854238,115.27806854248048,0.030049004596532813
20,default,layer_norm,Parkinson’s,3,53,109.84398651123048,7.950416668010429,0.026234255,108.52782440185548,0.086845653
20,default,batch_norm,Parkinson’s,3,68,75.58683776855469,6.884749749719436,0.3299235889387583,73.69557189941406,0.3799246741496356
20,default,local_min_max,Parkinson’s,3,84,73.07431793,6.8117316924164255,0.3521967116101502,65.21117401123047,0.4513124016033303
